ID	Term	WebSite	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	GeneRatio	Genes
hsa04141	Protein_processing_in_endoplasmic_reticulum	http://www.genome.jp/kegg-bin/show_pathway?hsa04141+3337+3320+3303	3	171	23	8088	0.0120514824766014	0.0666376089882667	1.91895952638318	0.130434782608696	DNAJB1//HSP90AA1//HSPA1A
hsa04623	Cytosolic_DNA-sensing_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04623+6351+4792	2	63	23	8088	0.0135985253482521	0.0710145212630942	1.86650818485335	0.0869565217391304	CCL4//NFKBIA
hsa04062	Chemokine_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04062+6351+3576+4792	3	192	23	8088	0.0164422716987122	0.0780872266801691	1.78403817961484	0.130434782608696	CCL4//CXCL8//NFKBIA
hsa05120	Epithelial_cell_signaling_in_Helicobacter_pylori_infection	http://www.genome.jp/kegg-bin/show_pathway?hsa05120+3576+4792	2	70	23	8088	0.0166143035489721	0.0780872266801691	1.77951785909052	0.0869565217391304	CXCL8//NFKBIA
hsa05163	Human_cytomegalovirus_infection	http://www.genome.jp/kegg-bin/show_pathway?hsa05163+6351+3576+4792	3	225	23	8088	0.0249566011951733	0.108734280078769	1.60281456092429	0.130434782608696	CCL4//CXCL8//NFKBIA
hsa04658	Th1_and_Th2_cell_differentiation	http://www.genome.jp/kegg-bin/show_pathway?hsa04658+3118+4792	2	92	23	8088	0.027731710491669	0.108734280078769	1.55702334231601	0.0869565217391304	HLA-DQA2//NFKBIA
hsa05323	Rheumatoid_arthritis	http://www.genome.jp/kegg-bin/show_pathway?hsa05323+3576+3118	2	93	23	8088	0.0282927074595929	0.108734280078769	1.5483254909135	0.0869565217391304	CXCL8//HLA-DQA2
hsa05215	Prostate_cancer	http://www.genome.jp/kegg-bin/show_pathway?hsa05215+3320+4792	2	97	23	8088	0.0305824956040499	0.108734280078769	1.51452707801967	0.0869565217391304	HSP90AA1//NFKBIA
hsa04640	Hematopoietic_cell_lineage	http://www.genome.jp/kegg-bin/show_pathway?hsa04640+2208+3118	2	99	23	8088	0.0317544768231712	0.108734280078769	1.49819503816602	0.0869565217391304	FCER2//HLA-DQA2
hsa04061	Viral_protein_interaction_with_cytokine_and_cytokine_receptor	http://www.genome.jp/kegg-bin/show_pathway?hsa04061+6351+3576	2	100	23	8088	0.0323471417378929	0.108734280078769	1.49016408848222	0.0869565217391304	CCL4//CXCL8
hsa05132	Salmonella_infection	http://www.genome.jp/kegg-bin/show_pathway?hsa05132+3576+3320+4792	3	249	23	8088	0.0324045980704749	0.108734280078769	1.48939336093687	0.130434782608696	CXCL8//HSP90AA1//NFKBIA
hsa05142	Chagas_disease	http://www.genome.jp/kegg-bin/show_pathway?hsa05142+3576+4792	2	102	23	8088	0.0335456821519606	0.108734280078769	1.47436337231337	0.0869565217391304	CXCL8//NFKBIA
hsa05146	Amoebiasis	http://www.genome.jp/kegg-bin/show_pathway?hsa05146+3576+3315	2	102	23	8088	0.0335456821519606	0.108734280078769	1.47436337231337	0.0869565217391304	CXCL8//HSPB1
hsa04915	Estrogen_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04915+3320+3303	2	137	23	8088	0.0571537570189059	0.172257983567633	1.24295521585576	0.0869565217391304	HSP90AA1//HSPA1A
hsa05135	Yersinia_infection	http://www.genome.jp/kegg-bin/show_pathway?hsa05135+3576+4792	2	137	23	8088	0.0571537570189059	0.172257983567633	1.24295521585576	0.0869565217391304	CXCL8//NFKBIA
hsa05162	Measles	http://www.genome.jp/kegg-bin/show_pathway?hsa05162+3303+4792	2	139	23	8088	0.0586410156825986	0.172257983567633	1.23179851617171	0.0869565217391304	HSPA1A//NFKBIA
hsa03010	Ribosome	http://www.genome.jp/kegg-bin/show_pathway?hsa03010+6231+6192	2	158	23	8088	0.0734256886522003	0.209151961615358	1.13415197158149	0.0869565217391304	RPS26//RPS4Y1
hsa05161	Hepatitis_B	http://www.genome.jp/kegg-bin/show_pathway?hsa05161+3576+4792	2	162	23	8088	0.076680773357748	0.211999785165539	1.11531351572996	0.0869565217391304	CXCL8//NFKBIA
