ID	Term	Ontology	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	Fold_Enrichment	GeneRatio	Genes
GO:0034097	response_to_cytokine	Biological Process	12	1084	38	17313	2.02006611606097e-06	0.000173725685981244	5.6946344160135	5.04360069916489	0.315789473684211	CCL4//CXCL8//FCER2//HLA-DQA2//HSP90AA1//IFI6//IFITM1//IGHG4//ISG15//NFKBIA//TCL1A//VIM
GO:0007165	signal_transduction	Biological Process	25	5010	38	17313	2.66638332235892e-06	0.000210199885245962	5.57407741575547	2.27347935707532	0.657894736842105	CCL4//CD79A//CD79B//CRIP1//CXCL8//FCER2//HLA-DQA2//HSP90AA1//HSPB1//IFI6//IFITM1//IGHA1//IGHD//IGHG4//ISG15//NFKBIA//RGS1//S100A11//S100A6//S100A8//S100A9//SRGN//TXNIP//TYMP//VIM
GO:0098542	defense_response_to_other_organism	Biological Process	11	943	38	17313	3.65357323073314e-06	0.000265867713559504	5.43728218340989	5.31458949600938	0.289473684210526	CCL4//HLA-DQA2//IFI6//IFITM1//IGHA1//IGHD//IGHG4//ISG15//S100A8//S100A9//VIM
GO:0007166	cell_surface_receptor_signaling_pathway	Biological Process	17	2417	38	17313	4.23239855585671e-06	0.000285989216702889	5.37341344247116	3.20450536768068	0.447368421052632	CCL4//CD79A//CD79B//CXCL8//FCER2//HLA-DQA2//HSP90AA1//HSPB1//IFI6//IFITM1//IGHA1//IGHD//IGHG4//ISG15//NFKBIA//TXNIP//VIM
GO:0070488	neutrophil_aggregation	Biological Process	2	2	38	17313	4.69100340549498e-06	0.00029584594810655	5.328734251771	455.605263157895	0.0526315789473684	S100A8//S100A9
GO:0050853	B_cell_receptor_signaling_pathway	Biological Process	5	126	38	17313	7.80608971864928e-06	0.000461535054615138	5.10756646149823	18.0795739348371	0.131578947368421	CD79A//CD79B//IGHA1//IGHD//IGHG4
GO:1900034	regulation_of_cellular_response_to_heat	Biological Process	4	79	38	17313	2.63415466331151e-05	0.00139749275105522	4.57935872920309	23.0686209193871	0.105263157894737	DNAJB1//HSP90AA1//HSPA1A//IER5
GO:0006986	response_to_unfolded_protein	Biological Process	5	164	38	17313	2.79709578084751e-05	0.00139749275105522	4.55329266184394	13.89040436457	0.131578947368421	CXCL8//DNAJB1//HSP90AA1//HSPA1A//HSPB1
GO:0032119	sequestering_of_zinc_ion	Biological Process	2	4	38	17313	2.80680362262676e-05	0.00139749275105522	4.55178797161672	227.802631578947	0.0526315789473684	S100A8//S100A9
GO:0030593	neutrophil_chemotaxis	Biological Process	4	83	38	17313	3.20150449790326e-05	0.00151431162750824	4.4946458836842	21.9568801521877	0.105263157894737	CCL4//CXCL8//S100A8//S100A9
GO:0050851	antigen_receptor-mediated_signaling_pathway	Biological Process	6	290	38	17313	3.68863267978206e-05	0.0016616411976542	4.43313459039162	9.42631578947368	0.157894736842105	CD79A//CD79B//HLA-DQA2//IGHA1//IGHD//IGHG4
GO:0071621	granulocyte_chemotaxis	Biological Process	4	89	38	17313	4.21391548384562e-05	0.00176366659617477	4.37531417904295	20.4766410408043	0.105263157894737	CCL4//CXCL8//S100A8//S100A9
GO:0002429	immune_response-activating_cell_surface_receptor_signaling_pathway	Biological Process	7	442	38	17313	4.28798432473782e-05	0.00176366659617477	4.3677468109301	7.21546796856394	0.184210526315789	CD79A//CD79B//HLA-DQA2//HSP90AA1//IGHA1//IGHD//IGHG4
GO:1990266	neutrophil_migration	Biological Process	4	91	38	17313	4.59820384923326e-05	0.00181245868390611	4.33741177934018	20.0266049739734	0.105263157894737	CCL4//CXCL8//S100A8//S100A9
GO:0097530	granulocyte_migration	Biological Process	4	100	38	17313	6.65163248907324e-05	0.00230608062633002	4.17707175409724	18.2242105263158	0.105263157894737	CCL4//CXCL8//S100A8//S100A9
GO:0002768	immune_response-regulating_cell_surface_receptor_signaling_pathway	Biological Process	7	475	38	17313	6.75883704952875e-05	0.00230608062633002	4.17012802394319	6.71418282548476	0.184210526315789	CD79A//CD79B//HLA-DQA2//HSP90AA1//IGHA1//IGHD//IGHG4
GO:0018119	peptidyl-cysteine_S-nitrosylation	Biological Process	2	6	38	17313	6.99757208694629e-05	0.00230608062633002	4.1550526188637	151.868421052632	0.0526315789473684	S100A8//S100A9
GO:0071310	cellular_response_to_organic_substance	Biological Process	15	2362	38	17313	7.02793253488076e-05	0.00230608062633002	4.15317241619633	2.89334417754802	0.394736842105263	CCL4//CXCL8//FCER2//HLA-DQA2//HSP90AA1//HSPA1A//HSPB1//IFI6//IFITM1//IGHG4//ISG15//LGALS1//NFKBIA//TCL1A//VIM
GO:0042742	defense_response_to_bacterium	Biological Process	6	326	38	17313	7.06938035555714e-05	0.00230608062633002	4.1506186512605	8.38537294155634	0.157894736842105	IGHA1//IGHD//IGHG4//ISG15//S100A8//S100A9
GO:0006959	humoral_immune_response	Biological Process	6	340	38	17313	8.91435706323249e-05	0.00281099392727264	4.04990997430124	8.04009287925697	0.157894736842105	CXCL8//IGHA1//IGHD//IGHG4//S100A8//S100A9
GO:0019730	antimicrobial_humoral_response	Biological Process	4	111	38	17313	9.98533582268414e-05	0.00304713796395458	4.00063732453528	16.4182076813656	0.105263157894737	CXCL8//IGHA1//S100A8//S100A9
GO:0045321	leukocyte_activation	Biological Process	9	910	38	17313	0.000120666370375418	0.00356719957422329	3.91841375057721	4.50598611914401	0.236842105263158	CD79A//CD79B//CXCL8//HSP90AA1//HSPA1A//LGALS1//S100A11//S100A8//S100A9
GO:0050900	leukocyte_migration	Biological Process	6	377	38	17313	0.000156871485506549	0.00449698258452108	3.80445599084634	7.25101214574899	0.157894736842105	CCL4//CXCL8//IGHA1//S100A8//S100A9//VPREB3
GO:0070486	leukocyte_aggregation	Biological Process	2	11	38	17313	0.0002548053541275	0.00688702471441757	3.59379145057688	82.8373205741627	0.0526315789473684	S100A8//S100A9
GO:0090084	negative_regulation_of_inclusion_body_assembly	Biological Process	2	11	38	17313	0.0002548053541275	0.00688702471441757	3.59379145057688	82.8373205741627	0.0526315789473684	DNAJB1//HSPA1A
GO:0030595	leukocyte_chemotaxis	Biological Process	4	145	38	17313	0.00027924517930846	0.00713961998988658	3.55401431550083	12.5684210526316	0.105263157894737	CCL4//CXCL8//S100A8//S100A9
GO:1903900	regulation_of_viral_life_cycle	Biological Process	4	145	38	17313	0.00027924517930846	0.00713961998988658	3.55401431550083	12.5684210526316	0.105263157894737	CXCL8//IFITM1//ISG15//LGALS1
GO:0061077	chaperone-mediated_protein_folding	Biological Process	3	59	38	17313	0.000291338211317523	0.00725278810279939	3.53560255047011	23.1663693131133	0.0789473684210526	DNAJB1//HSPA1A//HSPB1
GO:0097201	negative_regulation_of_transcription_from_RNA_polymerase_II_promoter_in_response_to_stress	Biological Process	2	12	38	17313	0.000305343007991607	0.00740652527077077	3.51521202040507	75.9342105263158	0.0526315789473684	DNAJB1//HSPA1A
GO:0009615	response_to_virus	Biological Process	5	284	38	17313	0.000369432558812239	0.00873708001590946	3.43246483198896	8.02121942179392	0.131578947368421	CCL4//HSPB1//IFI6//IFITM1//ISG15
GO:2001242	regulation_of_intrinsic_apoptotic_signaling_pathway	Biological Process	4	160	38	17313	0.000405966252914964	0.00911923032078295	3.39151006687099	11.3901315789474	0.105263157894737	HSPA1A//HSPB1//S100A8//S100A9
GO:0002523	leukocyte_migration_involved_in_inflammatory_response	Biological Process	2	14	38	17313	0.000419838287177721	0.00911923032078295	3.37691795843633	65.0864661654135	0.0526315789473684	S100A8//S100A9
GO:0060337	type_I_interferon_signaling_pathway	Biological Process	3	67	38	17313	0.000424150247478277	0.00911923032078295	3.37248027526513	20.4002356637863	0.0789473684210526	IFI6//IFITM1//ISG15
GO:0071357	cellular_response_to_type_I_interferon	Biological Process	3	67	38	17313	0.000424150247478277	0.00911923032078295	3.37248027526513	20.4002356637863	0.0789473684210526	IFI6//IFITM1//ISG15
GO:0034340	response_to_type_I_interferon	Biological Process	3	72	38	17313	0.000524074968995118	0.0110172204593196	3.28060658268798	18.9835526315789	0.0789473684210526	IFI6//IFITM1//ISG15
GO:0090083	regulation_of_inclusion_body_assembly	Biological Process	2	16	38	17313	0.000552101359717093	0.0113540844846167	3.25798118327663	56.9506578947368	0.0526315789473684	DNAJB1//HSPA1A
GO:0034605	cellular_response_to_heat	Biological Process	3	76	38	17313	0.000614023971323706	0.0123147317895821	3.21181467379305	17.9844182825485	0.0789473684210526	HSP90AA1//HSPA1A//IER5
GO:0051131	chaperone-mediated_protein_complex_assembly	Biological Process	2	17	38	17313	0.000624848970295921	0.0123147317895821	3.2042249415253	53.6006191950464	0.0526315789473684	HSP90AA1//HSPA1A
GO:0042119	neutrophil_activation	Biological Process	6	494	38	17313	0.000665117805583766	0.0128408457975968	3.17710142569875	5.53366716386107	0.157894736842105	CXCL8//HSP90AA1//HSPA1A//S100A11//S100A8//S100A9
GO:0034341	response_to_interferon-gamma	Biological Process	4	184	38	17313	0.000687224694967297	0.0130022912287813	3.16290124280992	9.90446224256293	0.105263157894737	CCL4//HLA-DQA2//IFITM1//VIM
GO:0010224	response_to_UV-B	Biological Process	2	18	38	17313	0.000701982425632559	0.0130210857774196	3.15367376044333	50.6228070175439	0.0526315789473684	CRIP1//HMGN1
GO:0032495	response_to_muramyl_dipeptide	Biological Process	2	20	38	17313	0.000869332597566821	0.0158151661018887	3.06081403522819	45.5605263157895	0.0526315789473684	NFKBIA//VIM
GO:0060326	cell_chemotaxis	Biological Process	4	210	38	17313	0.00112406686544177	0.0200635331076964	2.94920785386601	8.6781954887218	0.105263157894737	CCL4//CXCL8//S100A8//S100A9
GO:0045069	regulation_of_viral_genome_replication	Biological Process	3	98	38	17313	0.00128504156185805	0.0225120243984762	2.89108282580062	13.9470998925886	0.0789473684210526	CXCL8//IFITM1//ISG15
GO:0002224	toll-like_receptor_signaling_pathway	Biological Process	3	101	38	17313	0.00140164607911617	0.0236778069793553	2.8533616335098	13.5328295987493	0.0789473684210526	NFKBIA//S100A8//S100A9
GO:0048525	negative_regulation_of_viral_process	Biological Process	3	101	38	17313	0.00140164607911617	0.0236778069793553	2.8533616335098	13.5328295987493	0.0789473684210526	CCL4//IFITM1//ISG15
GO:0002274	myeloid_leukocyte_activation	Biological Process	6	578	38	17313	0.00149885424370381	0.024875721307786	2.82424059812764	4.72946639956292	0.157894736842105	CXCL8//HSP90AA1//HSPA1A//S100A11//S100A8//S100A9
GO:0006910	phagocytosis,_recognition	Biological Process	3	106	38	17313	0.0016104004223192	0.0262661861985166	2.7930661242279	12.8944885799404	0.0789473684210526	IGHA1//IGHD//IGHG4
GO:0030183	B_cell_differentiation	Biological Process	3	107	38	17313	0.00165435667726231	0.0265257867235619	2.78137085133293	12.7739793408756	0.0789473684210526	CD79A//CD79B//LGALS1
GO:0071356	cellular_response_to_tumor_necrosis_factor	Biological Process	4	236	38	17313	0.00172690698141784	0.0272275667403546	2.76273105475733	7.7221231043711	0.105263157894737	CCL4//CXCL8//NFKBIA//TCL1A
GO:0002250	adaptive_immune_response	Biological Process	6	598	38	17313	0.00178195939866395	0.0276349769038704	2.7491021954378	4.57129026579828	0.157894736842105	CD79A//CD79B//HLA-DQA2//IGHA1//IGHD//IGHG4
GO:0045648	positive_regulation_of_erythrocyte_differentiation	Biological Process	2	30	38	17313	0.00196297227170305	0.028838316743358	2.70708583505685	30.3736842105263	0.0526315789473684	HSPA1A//ISG15
GO:0046596	regulation_of_viral_entry_into_host_cell	Biological Process	2	30	38	17313	0.00196297227170305	0.028838316743358	2.70708583505685	30.3736842105263	0.0526315789473684	IFITM1//LGALS1
GO:0002366	leukocyte_activation_involved_in_immune_response	Biological Process	6	616	38	17313	0.00207014376894365	0.028838316743358	2.68399949227703	4.43771360218729	0.157894736842105	HSP90AA1//HSPA1A//LGALS1//S100A11//S100A8//S100A9
GO:0009408	response_to_heat	Biological Process	3	117	38	17313	0.00213571082170468	0.028838316743358	2.67045755175584	11.6821862348178	0.0789473684210526	HSP90AA1//HSPA1A//IER5
GO:0002263	cell_activation_involved_in_immune_response	Biological Process	6	620	38	17313	0.00213874089475878	0.028838316743358	2.66984182636467	4.40908319185059	0.157894736842105	HSP90AA1//HSPA1A//LGALS1//S100A11//S100A8//S100A9
GO:0051085	chaperone_cofactor-dependent_protein_refolding	Biological Process	2	32	38	17313	0.00223206095121254	0.0289250638335214	2.65129395023005	28.4753289473684	0.0526315789473684	DNAJB1//HSPA1A
GO:0072594	establishment_of_protein_localization_to_organelle	Biological Process	5	430	38	17313	0.00235884728094822	0.0299287116016978	2.62730017576912	5.29773561811505	0.131578947368421	HSP90AA1//NFKBIA//RPS26//RPS4Y1//TXNIP
GO:0006882	cellular_zinc_ion_homeostasis	Biological Process	2	33	38	17313	0.00237278368935236	0.0299287116016978	2.62474185166996	27.6124401913876	0.0526315789473684	S100A8//S100A9
GO:0034612	response_to_tumor_necrosis_factor	Biological Process	4	262	38	17313	0.00252504133105469	0.0314301197260228	2.59773150875242	6.95580554439534	0.105263157894737	CCL4//CXCL8//NFKBIA//TCL1A
GO:2001240	negative_regulation_of_extrinsic_apoptotic_signaling_pathway_in_absence_of_ligand	Biological Process	2	35	38	17313	0.00266649722799566	0.0325268567385358	2.57405886345938	26.0345864661654	0.0526315789473684	HSPA1A//IFI6
GO:0006911	phagocytosis,_engulfment	Biological Process	3	129	38	17313	0.00281805942776068	0.0325268567385358	2.55004985264739	10.5954712362301	0.0789473684210526	IGHA1//IGHD//IGHG4
GO:0014002	astrocyte_development	Biological Process	2	36	38	17313	0.00281945269826631	0.0325268567385358	2.54983518713849	25.3114035087719	0.0526315789473684	S100A8//VIM
GO:0042026	protein_refolding	Biological Process	2	36	38	17313	0.00281945269826631	0.0325268567385358	2.54983518713849	25.3114035087719	0.0526315789473684	HSP90AA1//HSPA1A
GO:0050832	defense_response_to_fungus	Biological Process	2	36	38	17313	0.00281945269826631	0.0325268567385358	2.54983518713849	25.3114035087719	0.0526315789473684	S100A8//S100A9
GO:0055069	zinc_ion_homeostasis	Biological Process	2	36	38	17313	0.00281945269826631	0.0325268567385358	2.54983518713849	25.3114035087719	0.0526315789473684	S100A8//S100A9
GO:0051084	'de_novo'_posttranslational_protein_folding	Biological Process	2	37	38	17313	0.00297645050619545	0.0338676130032677	2.526301334703	24.6273115220484	0.0526315789473684	DNAJB1//HSPA1A
GO:0002221	pattern_recognition_receptor_signaling_pathway	Biological Process	3	132	38	17313	0.003007272190565	0.0338676130032677	2.52182726178623	10.3546650717703	0.0789473684210526	NFKBIA//S100A8//S100A9
GO:0006915	apoptotic_process	Biological Process	7	905	38	17313	0.00317121440956123	0.035245593876375	2.49877439381606	3.52401861006106	0.184210526315789	CRIP1//IFI6//LGALS1//NFKBIA//S100A8//S100A9//SRGN
GO:0050921	positive_regulation_of_chemotaxis	Biological Process	3	135	38	17313	0.00320414489785227	0.035245593876375	2.49428785247707	10.1245614035088	0.0789473684210526	CCL4//CXCL8//HSPB1
GO:0050729	positive_regulation_of_inflammatory_response	Biological Process	3	136	38	17313	0.00327148869414823	0.0355727391340716	2.48525457622991	10.0501160990712	0.0789473684210526	NFKBIA//S100A8//S100A9
GO:0017038	protein_import	Biological Process	3	141	38	17313	0.00362126708912949	0.0385575265542374	2.4411394423033	9.69372900335946	0.0789473684210526	HSP90AA1//NFKBIA//TXNIP
GO:0006458	'de_novo'_protein_folding	Biological Process	2	41	38	17313	0.00364451533192122	0.0385575265542374	2.43836021842078	22.2246469833119	0.0526315789473684	DNAJB1//HSPA1A
GO:0045055	regulated_exocytosis	Biological Process	6	691	38	17313	0.00366826362566741	0.0385575265542374	2.43553946060875	3.95605148907	0.157894736842105	HSP90AA1//HSPA1A//S100A11//S100A8//S100A9//SRGN
GO:0043312	neutrophil_degranulation	Biological Process	5	481	38	17313	0.00381909219515903	0.0397017716112137	2.41803985737281	4.73602144654776	0.131578947368421	HSP90AA1//HSPA1A//S100A11//S100A8//S100A9
GO:0010324	membrane_invagination	Biological Process	3	145	38	17313	0.00391697149597711	0.0402407689532434	2.40704958882612	9.42631578947368	0.0789473684210526	IGHA1//IGHD//IGHG4
GO:0002283	neutrophil_activation_involved_in_immune_response	Biological Process	5	485	38	17313	0.00395601639815184	0.0402407689532434	2.40274191686958	4.69696147585458	0.131578947368421	HSP90AA1//HSPA1A//S100A11//S100A8//S100A9
GO:0002446	neutrophil_mediated_immunity	Biological Process	5	491	38	17313	0.00416798990763537	0.0402745623477901	2.38007334130728	4.6395647979419	0.131578947368421	HSP90AA1//HSPA1A//S100A11//S100A8//S100A9
GO:0050999	regulation_of_nitric-oxide_synthase_activity	Biological Process	2	44	38	17313	0.00418715491478102	0.0402745623477901	2.3780809709478	20.7093301435407	0.0526315789473684	FCER2//HSP90AA1
GO:0051092	positive_regulation_of_NF-kappaB_transcription_factor_activity	Biological Process	3	150	38	17313	0.00430680929017126	0.0402745623477901	2.36584435880624	9.1121052631579	0.0789473684210526	HSPA1A//S100A8//S100A9
GO:0007275	multicellular_organism_development	Biological Process	19	4961	38	17313	0.00437140475557864	0.0402745623477901	2.35937897960597	1.74491030034267	0.5	CD79A//CD79B//CRIP1//CXCL8//DNAJB1//HMGN1//HSP90AA1//LGALS1//PHACTR1//RPS4Y1//S100A4//S100A6//S100A8//S100A9//SRGN//TCL1A//TXNIP//TYMP//VIM
GO:0045646	regulation_of_erythrocyte_differentiation	Biological Process	2	45	38	17313	0.00437586487497559	0.0402745623477901	2.35893609731414	20.2491228070175	0.0526315789473684	HSPA1A//ISG15
GO:0042113	B_cell_activation	Biological Process	3	152	38	17313	0.00446911459544093	0.0406517539162223	2.34977850917281	8.99220914127424	0.0789473684210526	CD79A//CD79B//LGALS1
GO:0043299	leukocyte_degranulation	Biological Process	5	501	38	17313	0.00453926356358598	0.0407418627122295	2.34301460005339	4.54695871415065	0.131578947368421	HSP90AA1//HSPA1A//S100A11//S100A8//S100A9
GO:2001239	regulation_of_extrinsic_apoptotic_signaling_pathway_in_absence_of_ligand	Biological Process	2	46	38	17313	0.00456846133760389	0.0407418627122295	2.34023004612407	19.8089244851259	0.0526315789473684	HSPA1A//IFI6
GO:0033365	protein_localization_to_organelle	Biological Process	6	724	38	17313	0.00460822337231349	0.0407418627122295	2.33646647771593	3.77573422506543	0.157894736842105	HSP90AA1//NFKBIA//RPS26//RPS4Y1//SRGN//TXNIP
GO:0032496	response_to_lipopolysaccharide	Biological Process	4	316	38	17313	0.00493036299082962	0.0430928657164681	2.30712110524387	5.76715522984677	0.105263157894737	CXCL8//NFKBIA//S100A8//VIM
GO:0009409	response_to_cold	Biological Process	2	48	38	17313	0.00496524562695034	0.0430928657164681	2.30405926241723	18.9835526315789	0.0526315789473684	HSP90AA1//NFKBIA
GO:0009620	response_to_fungus	Biological Process	2	49	38	17313	0.00516939951365974	0.0439360997597969	2.28655990237032	18.5961331901181	0.0526315789473684	S100A8//S100A9
GO:0032940	secretion_by_cell	Biological Process	7	989	38	17313	0.00517058516240836	0.0439360997597969	2.28646030440622	3.22470863711351	0.184210526315789	HSP90AA1//HSPA1A//ISG15//S100A11//S100A8//S100A9//SRGN
GO:0006958	complement_activation,_classical_pathway	Biological Process	3	161	38	17313	0.00524535137851138	0.0439360997597969	2.28022541373598	8.48953906505394	0.0789473684210526	IGHA1//IGHD//IGHG4
GO:0042981	regulation_of_apoptotic_process	Biological Process	9	1543	38	17313	0.00524818104953176	0.0439360997597969	2.27999119126648	2.65745130811475	0.236842105263158	HSPA1A//HSPB1//IFI6//LGALS1//NFKBIA//S100A8//S100A9//TCL1A//TXNIP
GO:0071346	cellular_response_to_interferon-gamma	Biological Process	3	163	38	17313	0.00542818094151423	0.0447697914645083	2.26534568411631	8.38537294155634	0.0789473684210526	CCL4//HLA-DQA2//VIM
GO:0006909	phagocytosis	Biological Process	4	325	38	17313	0.00544241650995608	0.0447697914645083	2.26420822458241	5.60744939271255	0.105263157894737	HSP90AA1//IGHA1//IGHD//IGHG4
GO:1902533	positive_regulation_of_intracellular_signal_transduction	Biological Process	7	1003	38	17313	0.00558038897392866	0.0450181621435528	2.25333552806185	3.17969774885869	0.184210526315789	CCL4//HSP90AA1//HSPA1A//LGALS1//S100A4//S100A8//S100A9
GO:0002237	response_to_molecule_of_bacterial_origin	Biological Process	4	329	38	17313	0.00568104858790816	0.0450181621435528	2.24557149634672	5.53927371620541	0.105263157894737	CXCL8//NFKBIA//S100A8//VIM
GO:0002455	humoral_immune_response_mediated_by_circulating_immunoglobulin	Biological Process	3	166	38	17313	0.00570956922683718	0.0450181621435528	2.24339665698442	8.23383005707039	0.0789473684210526	IGHA1//IGHD//IGHG4
GO:0050871	positive_regulation_of_B_cell_activation	Biological Process	3	166	38	17313	0.00570956922683718	0.0450181621435528	2.24339665698442	8.23383005707039	0.0789473684210526	IGHA1//IGHD//IGHG4
GO:0043067	regulation_of_programmed_cell_death	Biological Process	9	1563	38	17313	0.00571054910911874	0.0450181621435528	2.2433221293033	2.62344681280937	0.236842105263158	HSPA1A//HSPB1//IFI6//LGALS1//NFKBIA//S100A8//S100A9//TCL1A//TXNIP
GO:0007159	leukocyte_cell-cell_adhesion	Biological Process	2	52	38	17313	0.00580470560261683	0.045382243802277	2.23621980148978	17.5232793522267	0.0526315789473684	S100A8//S100A9
GO:0048708	astrocyte_differentiation	Biological Process	2	53	38	17313	0.00602403315209006	0.0465347519327156	2.22011264674591	17.1926514399206	0.0526315789473684	S100A8//VIM
GO:0051345	positive_regulation_of_hydrolase_activity	Biological Process	6	766	38	17313	0.00605050157264696	0.0465347519327156	2.21820862184277	3.56870963309056	0.157894736842105	CCL4//DNAJB1//HSPA1A//RGS1//S100A8//S100A9
GO:0045089	positive_regulation_of_innate_immune_response	Biological Process	4	338	38	17313	0.0062434431935112	0.0469341162253792	2.20457583539313	5.39177826222361	0.105263157894737	HSPA1A//NFKBIA//S100A8//S100A9
GO:0010043	response_to_zinc_ion	Biological Process	2	54	38	17313	0.00624711227984512	0.0469341162253792	2.20432068837462	16.8742690058479	0.0526315789473684	CRIP1//S100A8
GO:0071347	cellular_response_to_interleukin-1	Biological Process	3	174	38	17313	0.00650235729285875	0.0469341162253792	2.1869291704822	7.85526315789474	0.0789473684210526	CCL4//CXCL8//NFKBIA
GO:0006887	exocytosis	Biological Process	6	779	38	17313	0.00655772715266454	0.0469341162253792	2.18324665698006	3.50915478683873	0.157894736842105	HSP90AA1//HSPA1A//S100A11//S100A8//S100A9//SRGN
GO:0006897	endocytosis	Biological Process	5	550	38	17313	0.00670787890309329	0.0469341162253792	2.17341478628555	4.14186602870813	0.131578947368421	CXCL8//HSP90AA1//IGHA1//IGHD//IGHG4
GO:0006935	chemotaxis	Biological Process	5	550	38	17313	0.00670787890309329	0.0469341162253792	2.17341478628555	4.14186602870813	0.131578947368421	CCL4//CXCL8//S100A8//S100A9//TYMP
GO:0006956	complement_activation	Biological Process	3	176	38	17313	0.00671030579370459	0.0469341162253792	2.1732576882524	7.76599880382775	0.0789473684210526	IGHA1//IGHD//IGHG4
GO:0012501	programmed_cell_death	Biological Process	7	1039	38	17313	0.00674739937278179	0.0469341162253792	2.17086358356603	3.06952535332557	0.184210526315789	CRIP1//IFI6//LGALS1//NFKBIA//S100A8//S100A9//SRGN
GO:0043488	regulation_of_mRNA_stability	Biological Process	3	177	38	17313	0.00681575626532241	0.0470635432627372	2.16648594854038	7.7221231043711	0.0789473684210526	HSPA1A//HSPB1//VIM
GO:0016192	vesicle-mediated_transport	Biological Process	10	1930	38	17313	0.00729890338205169	0.0500345115900065	2.1367423852082	2.36064903190619	0.263157894736842	CXCL8//HSP90AA1//HSPA1A//IGHA1//IGHD//IGHG4//S100A11//S100A8//S100A9//SRGN
GO:0032732	positive_regulation_of_interleukin-1_production	Biological Process	2	59	38	17313	0.00741820129981716	0.0501258459259074	2.12970138586133	15.4442462087422	0.0526315789473684	HSPB1//IGHD
GO:2001244	positive_regulation_of_intrinsic_apoptotic_signaling_pathway	Biological Process	2	59	38	17313	0.00741820129981716	0.0501258459259074	2.12970138586133	15.4442462087422	0.0526315789473684	S100A8//S100A9
GO:0051251	positive_regulation_of_lymphocyte_activation	Biological Process	4	357	38	17313	0.00755041951641721	0.0506574245569552	2.12202891742996	5.10482087571871	0.105263157894737	IGHA1//IGHD//IGHG4//LGALS1
GO:0071222	cellular_response_to_lipopolysaccharide	Biological Process	3	188	38	17313	0.0080413732887473	0.0535714023320771	2.0946697770233	7.2702967525196	0.0789473684210526	CXCL8//NFKBIA//VIM
GO:0045071	negative_regulation_of_viral_genome_replication	Biological Process	2	62	38	17313	0.00816481716228041	0.0540134058427781	2.08805353613267	14.6969439728353	0.0526315789473684	IFITM1//ISG15
